,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
train,0,category,category,float64,float64,category,int64,category,int64,category,int64,category,category,category,category,category,int64,int64,float64,float64,category,category,category,category,category,float64,int64,int64,category,int64,int64,int64,int64,float64,int64,float64,float64,float64,category,int64,category,category,float64,float64,float64,float64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,int64,category,float64,int64,int64,float64,int64,int64,int64,float64,float64,float64,float64,float64,float64,int64,int64,float64,int64,int64,category,category,float64
train,1,60,RL,65.0,8450.0,Pave,0,Lvl,3,Inside,0,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003.0,2003.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,2,3,PConc,3,3,1,6,706.0,1,0.0,150.0,856.0,GasA,5,Y,SBrkr,856.0,854.0,0.0,1710.0,1,0,2,1,3,1,3,8,6,0,0,Attchd,2003.0,2,2,548.0,3,3,2,0.0,61.0,0.0,0.0,0.0,0.0,0,0,0.0,2,2008,WD,Normal,208500.0
train,2,20,RL,80.0,9600.0,Pave,0,Lvl,3,FR2,0,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976.0,1976.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,1,3,CBlock,3,3,4,5,978.0,1,0.0,284.0,1262.0,GasA,5,Y,SBrkr,1262.0,0.0,0.0,1262.0,0,1,2,0,3,1,2,6,6,1,3,Attchd,1976.0,2,2,460.0,3,3,2,298.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,5,2007,WD,Normal,181500.0
train,3,60,RL,68.0,11250.0,Pave,1,Lvl,3,Inside,0,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001.0,2002.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,2,3,PConc,3,3,2,6,486.0,1,0.0,434.0,920.0,GasA,5,Y,SBrkr,920.0,866.0,0.0,1786.0,1,0,2,1,3,1,3,6,6,1,3,Attchd,2001.0,2,2,608.0,3,3,2,0.0,42.0,0.0,0.0,0.0,0.0,0,0,0.0,9,2008,WD,Normal,223500.0
train,4,70,RL,60.0,9550.0,Pave,1,Lvl,3,Corner,0,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915.0,1970.0,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,1,3,BrkTil,2,4,1,5,216.0,1,0.0,540.0,756.0,GasA,4,Y,SBrkr,961.0,756.0,0.0,1717.0,1,0,1,0,3,1,3,7,6,1,4,Detchd,1998.0,1,3,642.0,3,3,2,0.0,35.0,272.0,0.0,0.0,0.0,0,0,0.0,2,2006,WD,Abnorml,140000.0
train,5,60,RL,84.0,14260.0,Pave,1,Lvl,3,FR2,0,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000.0,2000.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,2,3,PConc,3,3,3,6,655.0,1,0.0,490.0,1145.0,GasA,5,Y,SBrkr,1145.0,1053.0,0.0,2198.0,1,0,2,1,4,1,3,9,6,1,3,Attchd,2000.0,2,3,836.0,3,3,2,192.0,84.0,0.0,0.0,0.0,0.0,0,0,0.0,12,2008,WD,Normal,250000.0
train,6,50,RL,85.0,14115.0,Pave,1,Lvl,3,Inside,0,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993.0,1995.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,1,3,Wood,3,3,1,6,732.0,1,0.0,64.0,796.0,GasA,5,Y,SBrkr,796.0,566.0,0.0,1362.0,1,0,1,1,1,1,2,5,6,0,0,Attchd,1993.0,1,2,480.0,3,3,2,40.0,30.0,0.0,320.0,0.0,0.0,0,1,700.0,10,2009,WD,Normal,143000.0
train,7,20,RL,75.0,10084.0,Pave,0,Lvl,3,Inside,0,Somerst,Norm,Norm,1Fam,1Story,8,5,2004.0,2005.0,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,2,3,PConc,4,3,3,6,1369.0,1,0.0,317.0,1686.0,GasA,5,Y,SBrkr,1694.0,0.0,0.0,1694.0,1,0,2,0,3,1,3,7,6,1,4,Attchd,2004.0,2,2,636.0,3,3,2,255.0,57.0,0.0,0.0,0.0,0.0,0,0,0.0,8,2007,WD,Normal,307000.0
train,8,60,RL,99.0,10382.0,Pave,1,Lvl,3,Corner,0,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973.0,1973.0,Gable,CompShg,HdBoard,HdBoard,BrkFace,240.0,1,3,CBlock,3,3,2,5,859.0,4,32.0,216.0,1107.0,GasA,5,Y,SBrkr,1107.0,983.0,0.0,2090.0,1,0,2,1,3,1,2,7,6,2,3,Attchd,1973.0,2,2,484.0,3,3,2,235.0,204.0,228.0,0.0,0.0,0.0,0,0,350.0,11,2009,WD,Normal,200000.0
train,9,50,RM,51.0,6120.0,Pave,0,Lvl,3,Inside,0,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931.0,1950.0,Gable,CompShg,BrkFace,Wd Shng,None,0.0,1,3,BrkTil,2,3,1,1,0.0,1,0.0,952.0,952.0,GasA,4,Y,FuseF,1022.0,752.0,0.0,1774.0,0,0,2,0,2,2,2,8,5,2,3,Detchd,1931.0,1,2,468.0,2,3,2,90.0,0.0,205.0,0.0,0.0,0.0,0,0,0.0,4,2008,WD,Abnorml,129900.0
