split,Id,MSSubClass,MSZoning,Neighborhood,LandContour,LotConfig,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,Foundation,Heating,CentralAir,Electrical,GarageType,SaleType,SaleCondition,OverallQual,OverallCond,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageQual,GarageCond,LotShape,Fence,LandSlope,PavedDrive,PoolQC,MoSold,YrSold,YearBuilt,YearRemodAdd,GarageYrBlt,GrLivArea,GarageArea,LotFrontage,LotArea,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,SalePrice
train,1,60,RL,CollgCr,Lvl,Inside,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,WD,Normal,7,5,2,3,3,3,1,6,1,5,1,0,2,1,3,8,1,3,6,0,0,2,2,3,3,0,0,0,2,0,2,2008,2003,2003,2003,1710.0,548.0,65.0,8450.0,196.0,706.0,0.0,150.0,856.0,856.0,854.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,208500.0
train,2,20,RL,Veenker,Lvl,FR2,Feedr,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,SBrkr,Attchd,WD,Normal,6,8,1,3,3,3,4,5,1,5,0,1,2,0,3,6,1,2,6,1,3,2,2,3,3,0,0,0,2,0,5,2007,1976,1976,1976,1262.0,460.0,80.0,9600.0,0.0,978.0,0.0,284.0,1262.0,1262.0,0.0,0.0,298.0,0.0,0.0,0.0,0.0,0.0,181500.0
train,3,60,RL,CollgCr,Lvl,Inside,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,WD,Normal,7,5,2,3,3,3,2,6,1,5,1,0,2,1,3,6,1,3,6,1,3,2,2,3,3,1,0,0,2,0,9,2008,2001,2002,2001,1786.0,608.0,68.0,11250.0,162.0,486.0,0.0,434.0,920.0,920.0,866.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,223500.0
train,4,70,RL,Crawfor,Lvl,Corner,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Shng,None,BrkTil,GasA,Y,SBrkr,Detchd,WD,Abnorml,7,5,1,3,2,4,1,5,1,4,1,0,1,0,3,7,1,3,6,1,4,1,3,3,3,1,0,0,2,0,2,2006,1915,1970,1998,1717.0,642.0,60.0,9550.0,0.0,216.0,0.0,540.0,756.0,961.0,756.0,0.0,0.0,35.0,272.0,0.0,0.0,0.0,140000.0
train,5,60,RL,NoRidge,Lvl,FR2,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,WD,Normal,8,5,2,3,3,3,3,6,1,5,1,0,2,1,4,9,1,3,6,1,3,2,3,3,3,1,0,0,2,0,12,2008,2000,2000,2000,2198.0,836.0,84.0,14260.0,350.0,655.0,0.0,490.0,1145.0,1145.0,1053.0,0.0,192.0,84.0,0.0,0.0,0.0,0.0,250000.0
train,6,50,RL,Mitchel,Lvl,Inside,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,Wood,GasA,Y,SBrkr,Attchd,WD,Normal,5,5,1,3,3,3,1,6,1,5,1,0,1,1,1,5,1,2,6,0,0,1,2,3,3,1,1,0,2,0,10,2009,1993,1995,1993,1362.0,480.0,85.0,14115.0,0.0,732.0,0.0,64.0,796.0,796.0,566.0,0.0,40.0,30.0,0.0,320.0,0.0,0.0,143000.0
train,7,20,RL,Somerst,Lvl,Inside,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,WD,Normal,8,5,2,3,4,3,3,6,1,5,1,0,2,0,3,7,1,3,6,1,4,2,2,3,3,0,0,0,2,0,8,2007,2004,2005,2004,1694.0,636.0,75.0,10084.0,186.0,1369.0,0.0,317.0,1686.0,1694.0,0.0,0.0,255.0,57.0,0.0,0.0,0.0,0.0,307000.0
train,8,60,RL,NWAmes,Lvl,Corner,PosN,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,CBlock,GasA,Y,SBrkr,Attchd,WD,Normal,7,6,1,3,3,3,2,5,4,5,1,0,2,1,3,7,1,2,6,2,3,2,2,3,3,1,0,0,2,0,11,2009,1973,1973,1973,2090.0,484.0,107.0,10382.0,240.0,859.0,32.0,216.0,1107.0,1107.0,983.0,0.0,235.0,204.0,228.0,0.0,0.0,0.0,200000.0
train,9,50,RM,OldTown,Lvl,Inside,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,BrkFace,Wd Shng,None,BrkTil,GasA,Y,FuseF,Detchd,WD,Abnorml,7,5,1,3,2,3,1,1,1,4,0,0,2,0,2,8,2,2,5,2,3,1,2,2,3,0,0,0,2,0,4,2008,1931,1950,1931,1774.0,468.0,51.0,6120.0,0.0,0.0,0.0,952.0,952.0,1022.0,752.0,0.0,90.0,0.0,205.0,0.0,0.0,0.0,129900.0
train,10,190,RL,BrkSide,Lvl,Corner,Artery,Artery,2fmCon,1.5Unf,Gable,CompShg,MetalSd,MetalSd,None,BrkTil,GasA,Y,SBrkr,Attchd,WD,Normal,5,6,1,3,2,3,1,6,1,5,1,0,1,0,2,5,2,2,6,2,3,2,1,4,3,0,0,0,2,0,1,2008,1939,1950,1939,1077.0,205.0,50.0,7420.0,0.0,851.0,0.0,140.0,991.0,1077.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,118000.0
train,11,20,RL,Sawyer,Lvl,Inside,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Y,SBrkr,Attchd,WD,Normal,5,5,1,3,2,3,1,3,1,5,1,0,1,0,3,5,1,2,6,0,0,1,1,3,3,0,0,0,2,0,2,2008,1965,1965,1965,1040.0,384.0,70.0,11200.0,0.0,906.0,0.0,134.0,1040.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129500.0
train,12,60,RL,NridgHt,Lvl,Inside,Norm,Norm,1Fam,2Story,Hip,CompShg,WdShing,Wd Shng,Stone,PConc,GasA,Y,SBrkr,BuiltIn,New,Partial,9,5,3,3,4,3,1,6,1,5,1,0,3,0,4,11,1,4,6,2,4,3,3,3,3,1,0,0,2,0,7,2006,2005,2006,2005,2324.0,736.0,85.0,11924.0,286.0,998.0,0.0,177.0,1175.0,1182.0,1142.0,0.0,147.0,21.0,0.0,0.0,0.0,0.0,345000.0
